metric,mean,std,model_name,split_name
rmse,7.782391737442657,0.22435656888973105,ridge,random_kfold
mae,5.089887375242773,0.1059275817858537,ridge,random_kfold
r2,0.5937125348123076,0.017614506348620045,ridge,random_kfold
rmse,5.242628302714133,0.05649820173376643,rf,random_kfold
mae,2.41579363097336,0.05022960902349383,rf,random_kfold
r2,0.8156279347490868,0.0038673534952878242,rf,random_kfold
rmse,5.288407287158361,0.11168761260297484,hgbt,random_kfold
mae,2.63232899780746,0.045428308796343984,hgbt,random_kfold
r2,0.8124266419269635,0.004833838122891314,hgbt,random_kfold
rmse,5.237765831449316,0.0790963290790157,xgboost,random_kfold
mae,2.5372132328648176,0.04939940507825314,xgboost,random_kfold
r2,0.8159935107861263,0.0034137984132434802,xgboost,random_kfold
rmse,5.23400627311605,0.09296426864947233,lightgbm,random_kfold
mae,2.4826343489555702,0.04093041847271158,lightgbm,random_kfold
r2,0.8162236488040217,0.005792825264803564,lightgbm,random_kfold
rmse,5.2284038871749505,0.09735511402713938,catboost,random_kfold
mae,2.6621412225762646,0.06200400230855144,catboost,random_kfold
r2,0.8166472376297398,0.004559321213521864,catboost,random_kfold
rmse,4.842566870723731,0.12652667245541632,tabpfn,random_kfold
mae,2.118778607178463,0.02013369054015004,tabpfn,random_kfold
r2,0.842544087081982,0.00993608399830508,tabpfn,random_kfold
rmse,8.453151994528117,0.6849853638968011,ridge,group_city
mae,5.699650697851464,0.30747781242450023,ridge,group_city
r2,0.5164920549733751,0.021438201105434537,ridge,group_city
rmse,7.6446919661214725,0.36829645347940804,rf,group_city
mae,5.145285243439053,0.24159192067674745,rf,group_city
r2,0.6017412230687013,0.041529299757343194,rf,group_city
rmse,7.07534435292484,0.3037343518405709,hgbt,group_city
mae,4.604583202207897,0.2706974085358937,hgbt,group_city
r2,0.6584034802728336,0.03918227976582433,hgbt,group_city
rmse,6.7985977232842005,0.33536162130626984,xgboost,group_city
mae,4.336482257048902,0.3508920542374388,xgboost,group_city
r2,0.6830580721421232,0.0532971454731192,xgboost,group_city
rmse,6.682780606711742,0.2756496308613441,lightgbm,group_city
mae,4.264488223659963,0.41189991769834866,lightgbm,group_city
r2,0.6943611339361212,0.04413088114535441,lightgbm,group_city
rmse,6.010865758685353,0.3539158560672676,catboost,group_city
mae,3.206863030905803,0.195548859527807,catboost,group_city
r2,0.7542465131899554,0.02246093715305543,catboost,group_city
rmse,6.630992806155739,0.6206817644483226,tabpfn,group_city
mae,4.047845925309114,0.3101262327296027,tabpfn,group_city
r2,0.7030644904298147,0.011871218012528112,tabpfn,group_city
rmse,8.841031196220813,0.8218809254402248,ridge,group_province
mae,6.2115377691495475,0.4451613233309793,ridge,group_province
r2,0.4659397910776666,0.04471524174752806,ridge,group_province
rmse,10.29349667993325,1.5060052121443648,rf,group_province
mae,7.521054634895516,1.5703453753861274,rf,group_province
r2,0.2682008006476694,0.180231685565094,rf,group_province
rmse,8.298975819776238,1.2514983240498472,hgbt,group_province
mae,6.383856579982522,1.2381700777644498,hgbt,group_province
r2,0.5162415074546195,0.15599047016144696,hgbt,group_province
rmse,8.53313821255115,1.133890506990987,xgboost,group_province
mae,6.578680591756928,1.071522060798887,xgboost,group_province
r2,0.48921912714994215,0.15700166156745599,xgboost,group_province
rmse,9.17672118716307,1.9319319177661,lightgbm,group_province
mae,7.216151302664715,2.232656961406728,lightgbm,group_province
r2,0.3882876242557581,0.27988277774705284,lightgbm,group_province
rmse,6.80522939245648,0.8139267868339675,catboost,group_province
mae,4.570360245578527,0.7465114729631743,catboost,group_province
r2,0.6819719864692714,0.055685329042309294,catboost,group_province
rmse,8.50951373656186,1.1805285698396104,tabpfn,group_province
mae,5.90016792281615,1.0172459418516098,tabpfn,group_province
r2,0.503420851344413,0.09766036208350491,tabpfn,group_province
