feature,feature_clean,mean_abs_shap
COUNTRY,COUNTRY,3.8931125952634624
PROVINCE,PROVINCE,0.8585007837768381
log1p_NOX,log1p_NOX,0.6183036757086466
NOX_div_SO2,NOX_div_SO2,0.47594571754991516
SO2,SO2,0.435315799923079
CITY,CITY,0.40162254833314387
AET,AET,0.37871716671377814
emission_pressure_logsum,emission_pressure_logsum,0.36464111906895863
NOX_plus_SO2,NOX_plus_SO2,0.33793244470179834
NOX,NOX,0.28850902778370024
log1p_SO2,log1p_SO2,0.1986479060431661
SO2_x_wind,SO2_x_wind,0.18910669707505678
wind,wind,0.11390749105607965
tem,tem,0.1084763860018944
province_z_SO2,province_z_SO2,0.10497818932968338
ppt,ppt,0.06940285845652688
city_sample_count,city_sample_count,0.059217519805644325
NOX_x_tem,NOX_x_tem,0.05919079460670424
log1p_ppt,log1p_ppt,0.03957032915360661
AET_x_ppt,AET_x_ppt,0.03827859520261259
log1p_manure,log1p_manure,0.036533102413041564
province_sample_count,province_sample_count,0.03544343951854798
fertilzier_x_wind,fertilzier_x_wind,0.029824405642625913
fertilzier_plus_manure,fertilzier_plus_manure,0.028230107049264458
manure,manure,0.02752149651059287
province_z_NOX,province_z_NOX,0.023727875177576983
log1p_fertilzier,log1p_fertilzier,0.017430904992015873
province_z_ppt,province_z_ppt,0.017185269823195334
manure_x_ppt,manure_x_ppt,0.015361993338872794
province_z_manure,province_z_manure,0.013973669735259365
fertilzier,fertilzier,0.013824200172218037
agri_pressure_logsum,agri_pressure_logsum,0.01270087531641264
province_z_fertilzier,province_z_fertilzier,0.010326897921990177
is_low_support_city,is_low_support_city,0.0028417768394396
