metric,mean,std,model_name,feature_variant
rmse,6.029609586633191,0.3451658379798693,catboost,with_country
mae,3.217296332253518,0.18346941402650177,catboost,with_country
r2,0.7528026680926982,0.021032618626294037,catboost,with_country
rmse,6.386283597982907,0.43765771816588284,catboost,without_country
mae,3.8174073917565243,0.26348572028634815,catboost,without_country
r2,0.7234251243336154,0.017147753041781528,catboost,without_country
rmse,6.630992806155739,0.6206817644483226,tabpfn,with_country
mae,4.047845925309114,0.3101262327296027,tabpfn,with_country
r2,0.7030644904298147,0.011871218012528112,tabpfn,with_country
rmse,6.783725721948988,0.7132522234146197,tabpfn,without_country
mae,3.9987873762768906,0.4248552590307154,tabpfn,without_country
r2,0.6893621364598321,0.02219067652084465,tabpfn,without_country
rmse,5.959932761183442,0.4058856015823414,geopfnmix_lite_catboost,with_country
mae,3.1206265211240423,0.19488538588744644,geopfnmix_lite_catboost,with_country
r2,0.7589691716377999,0.017057961248707836,geopfnmix_lite_catboost,with_country
rmse,6.138108510858897,0.4292924882129112,geopfnmix_lite_catboost,without_country
mae,3.4367716117495135,0.23635535451467898,geopfnmix_lite_catboost,without_country
r2,0.7446350703430105,0.013553090007455486,geopfnmix_lite_catboost,without_country
rmse,5.926010476811695,0.43403778926234826,geopfnmix_lite_catboost_tabpfn,with_country
mae,3.117570649023975,0.18879054226333364,geopfnmix_lite_catboost_tabpfn,with_country
r2,0.7618806349658558,0.015850052911830514,geopfnmix_lite_catboost_tabpfn,with_country
rmse,6.144097518949107,0.5008183080356262,geopfnmix_lite_catboost_tabpfn,without_country
mae,3.42723008648887,0.2589948605590981,geopfnmix_lite_catboost_tabpfn,without_country
r2,0.7446346754160371,0.009933076417061789,geopfnmix_lite_catboost_tabpfn,without_country
rmse,5.9609250507771545,0.3989828946434425,geopfnmix_catboost,with_country
mae,3.1168231289017254,0.18689936852573982,geopfnmix_catboost,with_country
r2,0.758852481083748,0.01734146205976797,geopfnmix_catboost,with_country
rmse,6.135760385535937,0.4266439626897293,geopfnmix_catboost,without_country
mae,3.4315768730795013,0.23600711870316984,geopfnmix_catboost,without_country
r2,0.7448190163992746,0.013572848514254636,geopfnmix_catboost,without_country
rmse,5.919225431996008,0.43418802991177385,geopfnmix_catboost_tabpfn,with_country
mae,3.103958950880481,0.1851456576790779,geopfnmix_catboost_tabpfn,with_country
r2,0.7624616770051393,0.015374053816929202,geopfnmix_catboost_tabpfn,with_country
rmse,6.149595826171884,0.4939373645371629,geopfnmix_catboost_tabpfn,without_country
mae,3.421411818096126,0.2565913930309624,geopfnmix_catboost_tabpfn,without_country
r2,0.7441013356950582,0.0111419428579293,geopfnmix_catboost_tabpfn,without_country
