metric,mean,std,model_name
rmse,7.6446919661214725,0.36829645347940854,rf
mae,5.145285243439053,0.24159192067674765,rf
r2,0.6017412230687013,0.04152929975734319,rf
rmse,6.013782863303918,0.3509572193290226,catboost
mae,3.2047250525141386,0.18867493496903534,catboost
r2,0.7540408688165856,0.021928669313936774,catboost
rmse,6.630992806155739,0.6206817644483226,tabpfn
mae,4.047845925309114,0.3101262327296027,tabpfn
r2,0.7030644904298147,0.011871218012528112,tabpfn
rmse,7.623709963061434,0.35146613191086,geopfnmix_no_prior
mae,5.126622442259969,0.24474413236411385,geopfnmix_no_prior
r2,0.6038061065747279,0.042093836428958066,geopfnmix_no_prior
rmse,6.3829458037076865,0.34048403814572226,geopfnmix_no_residual
mae,3.7505526861847707,0.19117260177825474,geopfnmix_no_residual
r2,0.7226889385431361,0.02611727729936287,geopfnmix_no_residual
rmse,6.271052380331228,0.4985859157008705,geopfnmix_no_residual_tabpfn
mae,3.7003471713227456,0.2757350240348888,geopfnmix_no_residual_tabpfn
r2,0.7338666375761418,0.010920440531808531,geopfnmix_no_residual_tabpfn
rmse,6.391135956276872,0.34428070151392043,geopfnmix
mae,3.7541985025697904,0.19273052876355787,geopfnmix
r2,0.7220013338483063,0.026023090120004953,geopfnmix
rmse,6.289080446851644,0.49257090964903827,geopfnmix_tabpfn
mae,3.709325582377128,0.27276988921446915,geopfnmix_tabpfn
r2,0.7323117159921196,0.01051965806367175,geopfnmix_tabpfn
rmse,5.9488369309705575,0.40755811834839273,geopfnmix_catboost
mae,3.108767101946153,0.19423416107188587,geopfnmix_catboost
r2,0.7598459601534824,0.017590157707023334,geopfnmix_catboost
rmse,5.934179120266096,0.42000680260234996,geopfnmix_catboost_tabpfn
mae,3.1168213440075516,0.17222511462095583,geopfnmix_catboost_tabpfn
r2,0.761195202040134,0.015328337264160451,geopfnmix_catboost_tabpfn
