,count,mean,std,min,25%,50%,75%,max
OBJECTID_1,2676.0,1343.0403587443946,774.9244043061584,1.0,671.75,1343.5,2013.25,2735.0
AET,2676.0,17.779013214872943,19.627540938673132,0.0,0.0,10.583049500000001,32.14105175,77.842857
PM2.5,2676.0,32.51770647122571,13.596459891179263,0.0,23.92499975,29.739015000000002,41.099998,93.533333
ppt,2676.0,31.468676174887893,36.209148526631864,0.0,4.618926999999999,14.675944999999999,48.335461,170.658462
tem,2676.0,3.4055577406576982,8.376440538620038,-20.941304,-1.0382422500000001,4.367369999999999,8.14896275,26.914286
wind,2676.0,2.169120081464873,0.7392785684805308,0.49375,1.7657275,2.0620475000000003,2.46031875,5.133333
NOX,2676.0,92.18842785816629,218.58605977221663,0.0,13.06466287,36.380737624999995,86.85348281249999,4112.848656
SO2,2676.0,31.721824613116965,66.91923341598054,0.0,6.018211935,15.779052454999999,31.6069584025,1082.89599
fertilzier,2676.0,10761.709076121824,12524.580046687737,0.0,2361.5167555,6847.824251,14823.1331125,140663.1015
manure,2676.0,8562.646500370704,9015.14265301922,0.0,2328.27087875,5645.4842555,11878.697545,112106.0569
