PROVINCE,abs_error
海南省,17.627769994806407
青海省,15.900062461307279
浙江省,13.37487733049716
江西省,12.752134104868615
新疆维吾尔自治区,11.863828092117787
宁夏回族自治区,11.409946745664017
河南省,10.806713037648754
湖北省,10.728290167811892
广西壮族自治区,10.139169509582999
山东省,9.939376014740148
河北省,9.711203956513783
甘肃省,9.62338455689503
西藏自治区,9.520743556816942
辽宁省,9.520046869860073
福建省,9.373369057380764
广东省,9.239641085561413
天津市,9.132683840585445
陕西省,9.016732079224594
山西省,8.93737303465685
云南省,8.555022956765024
黑龙江省,8.461300997676084
安徽省,8.34961165764042
吉林省,8.299083238401241
湖南省,8.234869988673415
内蒙古自治区,8.135256480764928
四川省,7.631261126748527
江苏省,6.9837503224554665
贵州省,6.774764661412472
重庆市,6.662076850922983
上海市,6.627005714709645
北京市,5.8741842382613205
