feature,mean_abs_shap
num__emission_pressure_logsum,1.658746394492361
num__NOX,1.3916350204805918
num__log1p_NOX,1.3873229023308413
cat__PROVINCE,0.8900130221340048
num__NOX_div_SO2,0.8314065371533677
cat__CITY,0.6324027518321014
num__SO2,0.6232376217504108
num__log1p_SO2,0.5613752819631364
num__province_z_ppt,0.453891293716951
num__NOX_x_tem,0.4064315695472354
num__province_z_NOX,0.4000719724679224
num__city_sample_count,0.3930617040726838
num__wind,0.3144879685056032
num__tem,0.2931162651884155
num__province_sample_count,0.27129918498926975
num__NOX_plus_SO2,0.23456263981827274
num__province_z_SO2,0.21735221710981215
num__log1p_manure,0.21424984184301815
num__province_z_manure,0.21188660107284876
num__manure,0.19385472161378575
num__SO2_x_wind,0.17744146729974383
num__fertilzier_x_wind,0.16874718323100887
num__province_z_fertilzier,0.1545066948092202
num__manure_x_ppt,0.15345857303221172
num__ppt,0.12308772816352818
num__log1p_ppt,0.11581076242925128
num__agri_pressure_logsum,0.11219798732030577
num__AET_x_ppt,0.1110986508725496
num__AET,0.10852381933902384
num__log1p_fertilzier,0.09982914991905607
num__fertilzier,0.09379250329993122
num__fertilzier_plus_manure,0.09179375280261876
num__is_low_support_city,0.035989665704694064
