ID,fertilizer,manure,PM25,SO2density,NOX,AET,PPT,TEM,WIND
101021007,0,3070.032299,16.06000004,0.042121222,1.717410191,51.96615385,53.81025641,28.16307692,3.553846154
101021009,0,12.69709374,0,0,0,43.7,45.8,30.5,3.5
101021610,0,20.72589979,0,0,0,0,0,0,0
101021611,0,2707.767235,13.81935486,858.51948,7.29841771,49.48764706,51.73411765,28.35647059,3.956470588
101031013,0,8514.830617,9.530000019,22.1973659,1.372420738,51.72245763,54.10508475,26.95042373,4.091101695
101031014,7.334459013,1005.964137,9.100000381,1.008179094,9.501282654,44,46.1,28.5,3.82
101031015,0,8648.029797,10.21034479,121.3927144,1.982623097,55.03628809,54.84958449,26.74127424,4.280055402
101031016,0,4552.220583,9.778048841,41.58599003,1.652907566,66.06885965,58.90657895,26.23947368,4.251315789
101041019,0,557.5452764,12.55000019,0.080134645,5.970324581,58.31111111,60.27777778,27.16666667,4.833333333
101041020,0,2545.774245,10.66874997,9.800743798,1.531069694,59.22664234,61.64379562,26.68175182,4.208759124
101041021,0,3.238328634,0,0,0,64.9,66,26.8,4.4
101041022,0,35.76146639,13.24444453,0.00127663,0.127620447,61.38209877,63.44691358,27.32098765,3.675308642
101041023,0,52.49849832,10.19999981,0.002659457,1.780000097,56.675,59.1,26.4,5.425
101041024,0,438.8679631,19.13571419,5.623257779,1.908685668,59.9702381,61.25595238,27.31309524,4.022619048
101041025,0,2.525694883,10.89999962,0.862988988,2.040121327,56.88333333,59.21666667,26.66666667,5
101041026,6.57716036,205.5975815,17.10000038,0.04092431,0.596171526,64.02222222,65.61111111,26.67777778,4.611111111
101041027,0,97.8401929,15.69999981,0.009384823,1.985945753,61.36875,63.4,26.61875,5.05625
101051539,92.89766168,308.6526778,0,0,0,42.3,44.08,30.38,3.42
101051540,0,28017.04549,11.07444442,280.811938,3.353431722,46.08619329,47.74497041,30.22051282,3.45581854
101061541,0,806.3557774,11.10000038,0.001110133,1.729061789,40.13333333,42.03333333,32.05,3.583333333
101061542,0,22728.42979,10.93793103,34.58069168,4.936121412,42.66993865,44.51840491,31.56533742,3.634662577
101061543,4025.149713,3065.680506,8.900000095,0.211840028,3.97720962,38.74827586,40.5862069,33.48275862,3.672413793
101061544,46459.52929,36977.45022,9.240000014,7.915461323,2.281084802,39.26097561,41.11585366,33.75731707,3.575914634
102011029,0,0,0,0,0,61.8,61.7,28.5,5.2
102011030,0,1450.359286,13.51249981,4.223726152,11.23705833,56.13953488,56.48139535,29.3372093,3.913953488
102011031,0,9.691248484,0,0,0,58.7,58.3,28.8,4.8
102011034,0,0,0,0,0,61.3,61.2,28.9,4.8
102011036,0,1.130697912,13.60000038,3.796081651,266.4807175,59.8,59.6,28.9,4.4
102011041,0,0,0,0,0,0,0,0,0
102021045,0,0,0,0,0,47.9,46.7,28.8,5.4
102021048,0,2.212476853,13.10000038,0,0,50.9,49.9,28.9,4.8
102021049,0,140.3208752,13.70000013,6.332251389,5.005697915,52.96875,52.51875,29.36875,4.23125
102021050,0,0,13.10000038,38.8353217,5485.26356,46.7,45.33333333,28.66666667,5.4
102021051,0,1.318876067,13.19999981,0.068473036,8.778625224,57.98333333,57.85,29.03333333,4.116666667
102021055,0,18.10605946,0,0,0,57.65,57.25,29.2,4.5
102021056,0,0,0,0,0,53.8,53.025,29.225,4.7
103011059,2597.213402,161.5321961,10.5,12.00664272,7.128928559,46.58333333,48.68333333,30.98333333,3.4
103011060,0,8630.337979,10.12631579,124.951026,3.101937958,49.17440758,51.36777251,30.46066351,3.607109005
103011061,0,5904.777403,10.2,5.131846168,2.029912573,55.6128655,56.60701754,28.10467836,3.694736842
103011612,0,244.2601527,0,0,0,45.7,47.8,31.5,3.4
